Arquivo aberto corretamente! ./instances/RM698_L15.txt
Iteracao 0...
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4661.597656 4661.597656 16.073896 441.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 1...
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4603.526855 4603.526855 0.000000 448.000000
4656.221680 4656.221680 20.016310 441.000000
4661.597656 4661.597656 16.073896 441.000000
4627.411133 4627.411133 8.370574 445.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 2...
4619.647461 4619.647461 8.370574 445.000000
4619.647461 4619.647461 8.370574 445.000000
4610.222168 4610.222168 11.778234 445.000000
4611.549316 4611.549316 11.778234 445.000000
4661.597656 4661.597656 16.073896 441.000000
4627.411133 4627.411133 8.370574 445.000000
4656.221680 4656.221680 20.016310 441.000000
4641.031250 4641.031250 17.870916 442.000000
4629.390137 4629.390137 18.605091 442.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 3...
teste4620.204590 4620.204590 7.322443 445.000000
4619.647461 4619.647461 8.370574 445.000000
4619.647461 4619.647461 8.370574 445.000000
4641.031250 4641.031250 17.870916 442.000000
4629.390137 4629.390137 18.605091 442.000000
4656.796387 4656.796387 19.024694 439.000000
4654.093750 4654.093750 23.342203 439.000000
4656.221680 4656.221680 20.016310 441.000000
4678.051758 4678.051758 18.097002 441.000000
4634.054199 4634.054199 7.322443 445.000000
Iteracao 4...
4619.323730 4619.323730 16.079422 442.000000
4635.439941 4635.439941 10.865639 444.000000
4620.204590 4620.204590 7.322443 445.000000
4614.382812 4614.382812 8.747050 445.000000
4654.093750 4654.093750 23.342203 439.000000
4656.221680 4656.221680 20.016310 441.000000
4634.054199 4634.054199 7.322443 445.000000
4658.927734 4658.927734 16.539141 440.000000
4647.327148 4647.327148 14.499269 443.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 5...
4655.873047 4655.873047 14.509343 441.000000
4644.849609 4644.849609 17.833096 441.000000
4644.849609 4644.849609 17.833096 441.000000
4633.211914 4633.211914 12.323867 442.000000
4633.211914 4633.211914 12.323867 442.000000
4633.211914 4633.211914 12.323867 442.000000
4634.054199 4634.054199 7.322443 445.000000
4658.927734 4658.927734 16.539141 440.000000
4647.327148 4647.327148 14.499269 443.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 6...
4656.521484 4656.521484 14.355633 440.000000
4656.521484 4656.521484 14.355633 440.000000
4656.521484 4656.521484 14.355633 440.000000
4655.873047 4655.873047 14.509343 441.000000
4655.873047 4655.873047 14.509343 441.000000
4655.873047 4655.873047 14.509343 441.000000
4655.873047 4655.873047 14.509343 441.000000
4655.873047 4655.873047 14.509343 441.000000
4658.927734 4658.927734 16.539141 440.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 7...
4634.054199 4634.054199 7.322443 445.000000
4656.521484 4656.521484 14.355633 440.000000
4656.521484 4656.521484 14.355633 440.000000
4656.521484 4656.521484 14.355633 440.000000
4656.521484 4656.521484 14.355633 440.000000
4655.873047 4655.873047 14.509343 441.000000
4655.873047 4655.873047 14.509343 441.000000
4647.327148 4647.327148 14.499269 443.000000
4658.927734 4658.927734 16.539141 440.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 8...
4635.203125 4635.203125 16.182617 440.000000
4638.230469 4638.230469 16.100058 442.000000
4637.555176 4637.555176 14.499269 443.000000
4637.555176 4637.555176 14.499269 443.000000
4637.555176 4637.555176 14.499269 443.000000
4639.546387 4639.546387 18.358021 441.000000
4647.327148 4647.327148 14.499269 443.000000
4655.873047 4655.873047 14.509343 441.000000
4658.927734 4658.927734 16.539141 440.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 9...
4637.508301 4637.508301 19.024694 439.000000
4653.246094 4653.246094 14.355633 440.000000
4653.246094 4653.246094 14.355633 440.000000
4653.246094 4653.246094 14.355633 440.000000
4653.246094 4653.246094 14.355633 440.000000
4630.609863 4630.609863 13.383534 442.000000
4647.327148 4647.327148 14.499269 443.000000
4655.873047 4655.873047 14.509343 441.000000
4658.927734 4658.927734 16.539141 440.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 10...
4659.501953 4659.501953 18.798496 438.000000
4637.508301 4637.508301 19.024694 439.000000
4637.508301 4637.508301 19.024694 439.000000
4637.508301 4637.508301 19.024694 439.000000
4637.508301 4637.508301 19.024694 439.000000
4658.927734 4658.927734 16.539141 440.000000
4655.873047 4655.873047 14.509343 441.000000
4647.327148 4647.327148 14.499269 443.000000
4672.814453 4672.814453 20.671400 438.000000
4678.051758 4678.051758 18.097002 441.000000
Iteracao 11...
4660.818359 4660.818359 21.056459 437.000000
4660.818359 4660.818359 21.056459 437.000000
4660.818359 4660.818359 21.056459 437.000000
4660.818359 4660.818359 21.056459 437.000000
4660.818359 4660.818359 21.056459 437.000000
4660.818359 4660.818359 21.056459 437.000000
4672.814453 4672.814453 20.671400 438.000000
4655.873047 4655.873047 14.509343 441.000000
